plant	year	Electricity	SO2	NOx	Capital_Stock	Employees	Heat_coal	Heat_oil	Heat_gas	CAAP1
3	90	24090.4371108344	158.680500622665	73.592396014944	1655624781.67885	418.636363636364	67428.7344343711	33.7139863890411	469.767894146949	0.545454545454545
8	90	20718.3501867995	253.618727272727	66.5178530510585	1551053665.80989	488.545454545455	59343.0570286426	112.670720504608	0	0.545454545454545
470	90	9706.37584059776	32.4296264009963	45.0193399750934	810650228.076656	114.272727272727	29249.5941085928	36.1080143820672	28.6891330012453	0.545454545454545
602	90	14847.6789539228	78.2697110834371	45.128702366127	1525395484.87711	148.818181818182	42820.6303262765	239.778398346202	0	0.545454545454545
641	90	12402.1501867995	265.630864259029	54.3575491905355	1234346136.65904	239.545454545455	37704.742550934	37.4792163332503	594.835865504359	0.545454545454545
708	90	9908.0801992528	129.59898879203	43.5722938978829	865229564.028698	278.454545454545	30161.4441061021	60.1887659641345	0	0.545454545454545
709	90	25355.8313823163	245.402505603985	110.480398505604	1375428880.57327	431.272727272727	72011.2980094645	47.1604139476961	0	0.545454545454545
728	90	13367.9526774595	221.438156911582	43.066400996264	1311830006.66489	414.090909090909	40247.4962530511	80.2561869175591	0	0.545454545454545
856	90	9048.75143212951	66.9264657534247	36.1229589041096	849815271.456011	158.636363636364	26189.5654201743	39.1402300841843	0	0.545454545454545
861	90	9607.06351183063	287.592373599004	80.8117534246575	1013418308.56245	286.636363636364	29681.1945429639	43.8156075706102	0	0.545454545454545
862	90	1130.35279950187	30.2768293897883	5.99672727272727	407225609.957956	101.545454545455	3655.78632777086	22.8348962405978	0	0.545454545454545
863	90	1424.96503113325	32.9123262764633	5.53142465753425	316269068.392315	89.9090909090909	4439.2323860523	28.6002329559153	0	0.545454545454545
864	90	3063.81414694894	72.6458630136986	10.825098381071	622281629.067344	146.545454545455	9266.04798804483	182.321902767123	0	0.545454545454545
876	90	10383.9526774595	356.540132004981	93.7814919053549	1238228465.60894	299.181818181818	34241.2440348692	0	76.081698630137	0.545454545454545
879	90	11365.9686176837	52.4266525529265	61.3342366127024	2521841622.7253	363.727272727273	38757.824513076	0	137.47576762142	0.545454545454545
887	90	17504.8343711083	242.562881693649	57.7529290161893	1701584876.82848	345.454545454545	52508.1170909091	43.252534513076	61.654902864259	0.545454545454545
889	90	25381.5623262765	648.661509339975	162.417603985056	1600058801.47842	264.090909090909	74806.5432632628	74.7909638854296	0	0.545454545454545
983	90	26165.9514321295	662.883163138232	177.35202988792	1576102655.98728	390.454545454545	74564.0232622665	15.4306684767123	0	0.545454545454545
988	90	10810.6094645081	161.259870485679	63.8296164383562	1529537310.81376	311.909090909091	30573.0594017435	130.770058227646	0	0.545454545454545
991	90	1746.13250311333	30.1	6.45752179327522	539371620.947197	99.1818181818182	5790.1500109589	66.4437678022416	0	0.545454545454545
994	90	25527.4219178082	283.188592777086	74.2280149439601	2429299605.67559	324.363636363636	76676.1432448319	102.308010481196	0	0.545454545454545
1004	90	442.921448069738	12.8510709838107	3.03286674968867	305316810.181507	66.6363636363636	1724.31492204234	29.9236662515567	0	0.545454545454545
1008	90	6053.77875466999	126.893855541719	28.0282615193026	684063316.261864	151.454545454545	18691.761958655	146.968153466002	0	0.545454545454545
1012	90	5402.59580572852	122.777945205479	25.0480249066003	489213360.603216	86.4545454545455	16804.005535741	5.2554197260274	14.712902615193	0.545454545454545
1047	90	2760.82887870486	15.8444657534247	17.7471407222914	428728098.220442	51.1818181818182	9426.57570759651	33.6792926525529	0	0.545454545454545
1250	90	4885.11830635118	12.5295367372354	18.2684084682441	543194004.084471	134.909090909091	16031.5906296389	0	297.933164881694	0.545454545454545
1355	90	8587.93250311332	139.834525529265	28.8910684931507	616994861.389102	149.181818181818	26418.2745305106	49.3468680448319	0	0.545454545454545
1356	90	25417.8772104608	255.35103860523	82.6753175591532	1817174076.75485	237.363636363636	75661.1379576588	132.17499377335	0	0.545454545454545
1357	90	2444.03686176837	53.1817285180573	13.0946749688667	330773604.757192	105.272727272727	8226.7964762142	10.303400249066	0	0.545454545454545
1364	90	19582.0777085928	350.527212951432	71.0727745952677	1575903846.89108	418.545454545455	57965.185207472	164.394487185056	88.6419489414695	0.545454545454545
1570	90	1173.97882938979	9.38056288916563	3.77387795765878	281932779.741102	66.3636363636364	3651.27093748443	24.1673648816936	0	0.545454545454545
1606	90	2853.7167618929	27.5108343711083	10.8947148194271	175312907.291876	68.0909090909091	8101.72797758406	7.17825372552926	0	0.545454545454545
1695	90	5271.56164383562	30.4021120797011	17.7349115815691	670151210.079004	166.272727272727	15268.2720159402	31.4568597758406	17.6744707347447	0.545454545454545
1745	90	9132.1098381071	53.3374694894147	30.0500124533001	1633172279.27629	326.272727272727	27561.0510874222	122.289300784558	0	0.545454545454545
1943	90	800.835691158157	4.39888667496887	4.49375591531756	201788515.033698	42.2727272727273	2741.80525280199	10.1902460772105	0	0.545454545454545
2080	90	5773.99919302615	66.5830211706102	24.297195516812	507584832.567238	157.363636363636	17358.3632084682	33.6033495183064	0	0.545454545454545
2103	90	31500.6801992528	554.790186799502	102.004383561644	2511281302.15736	466.454545454545	92134.0826425903	281.614947945205	0	0.545454545454545
2107	90	10004.4266500623	197.3020249066	76.3812702366127	949507958.034094	248.545454545455	30562.7740009963	34.2044129514321	0	0.545454545454545
2526	90	2038.87455666252	31.9983686176837	7.65414694894147	390968392.962121	75.2727272727273	6480.93968966376	31.3277648204234	0	0.545454545454545
2527	90	2490.25133723537	39.9232478206725	9.41239601494396	399558109.91645	83.1818181818182	7699.41404732254	38.5262652552926	0	0.545454545454545
2535	90	5536.88881195517	68.6308468244085	15.7684757160648	425574923.695982	89.5454545454545	15160.0226938979	14.2951278351183	0	0.545454545454545
2549	90	11232.0418430884	136.050929016189	49.7100249066003	1734562757.66222	291.454545454545	34067.9952034869	0	0	0.545454545454545
2554	90	9724.7103362391	146.32302615193	26.6489464508095	988170529.406178	204.727272727273	28022.3585295143	27.0065629255293	0	0.545454545454545
2642	90	3439.37085927771	56.1916911581569	10.3253100871731	424152799.692173	132.727272727273	10506.134879203	40.3569056039851	0	0.545454545454545
2706	90	6237.74171855542	49.3116537982565	25.7976288916563	334435770.985102	83.1818181818182	17832.6842326276	33.5653285031133	0	0.545454545454545
2718	90	6770.50510585305	49.2246176836862	19.2299302615193	987918091.578949	152.454545454545	19598.008260523	138.969239856538	0	0.545454545454545
2721	90	5638.28941469489	41.1499476961395	16.2501270236613	765171917.986426	139.818181818182	16280.7540069738	57.7156386545455	0	0.545454545454545
2727	90	26850.9085927771	178.418717310087	69.8738430884184	1368433058.47843	183.181818181818	70759.3937808219	145.60866979726	0	0.545454545454545
2790	90	1051.22926276463	7.72224408468244	2.21970361145704	172504202.395655	50.7272727272727	4029.84005778331	0	0.500331257783312	0.545454545454545
2850	90	40943.9788293898	433.24200747198	183.865867995019	2234247795.29151	542.363636363636	116860.61272528	80.9393271691158	0	0.545454545454545
2864	90	6529.81544209215	182.159912826899	34.5415716064757	970918568.590396	249	21450.1369085928	12.9703797668742	0	0.545454545454545
2872	90	20270.7496886675	683.679449564135	116.531175591532	1726485362.72881	369.272727272727	57069.8084956413	184.756700541968	0	0.545454545454545
2876	90	21315.0640099626	575.769820672478	133.74399750934	1332032475.52032	336.636363636364	60647.943007721	20.7437586067248	0	0.545454545454545
3098	90	5515.27566625156	12.4955566625156	27.8032229140722	1016117093.31283	216.818181818182	18416.4051890411	85.2818548333748	0	0.545454545454545
3130	90	3282.56737235367	43.5275790784558	12.2989638854296	498562910.846769	93.9090909090909	10683.2022485679	108.662224259029	0	0.545454545454545
3131	90	10027.7354919054	151.951469489415	35.714199252802	925487119.40675	131.545454545455	29706.6035123288	235.415610624658	0	0.545454545454545
3138	90	4427.19750933998	59.6911930261519	22.8198156911582	637344382.022386	154.727272727273	14656.1377912827	37.424909611457	0	0.545454545454545
3140	90	23663.4829389788	324.906831880448	64.8142814445828	1411431923.28177	209.818181818182	67610.7907427148	316.295276119054	0	0.545454545454545
3149	90	26197.4204234122	330.512134495641	70.961100871731	1373503389.69357	189.090909090909	72065.3230665006	341.160628111083	0	0.545454545454545
3178	90	5806.30087173101	83.8245853051059	25.5922590286426	436368895.32589	84.4545454545455	16926.3627113325	19.0745149374844	0	0.545454545454545
