plant	year	Electricity	SO2	NOx	Capital_Stock	Employees	Heat_coal	Heat_oil	Heat_gas	CAAP1
3	85	23301.4739726027	130.355808219178	70.9840547945205	1550527100.085	430	65936.8404493151	47.9340896712329	807.835361643835	0
8	85	19321.2054794521	203.142821917808	63.2537808219178	1461450160.47	511	56392.3695068493	144.70421970411	0	0
470	85	9624.64383561644	37.218301369863	44.3494794520548	754930641.482	114	28661.580169863	44.7751649589041	8.45139452054794	0
602	85	7122.04657534247	38.0283287671233	21.5857808219178	998745922.295	120	20602.9967671233	224.398096520548	0	0
641	85	12122.8493150685	273.070082191781	53.4544657534247	1156442643.305	221	35837.7649205479	58.5173917808219	376.046575342466	0
708	85	13340.3479452055	170.140273972603	61.863397260274	813351128.624	309	40680.9899287671	54.7332493150685	0	0
709	85	30803.5424657534	266.093150684932	124.100904109589	1343554389.774	469	81934.6670904109	39.8903342465753	0	0
728	85	18348.0301369863	346.423616438356	60.288	1291051632.551	454	53441.9764054794	70.040005479452	0	0
856	85	8192.46575342466	53.2385205479452	34.2950136986301	836453261.371	151	23636.9766082192	26.9953882684932	0	0
861	85	10454.5342465753	375.504383561644	88.7657260273973	994819756.711	302	32678.0719068493	37.3126992	0	0
862	85	1264.87726027397	31.5998082191781	6.68016438356164	395666254.254	104	4080.29523287671	16.0747468767123	0	0
863	85	2305.94821917808	55.4878356164384	12.0955342465753	301749081.522	93	7028.20927123288	15.0471519780822	0	0
864	85	3730.42849315069	87.1219452054794	13.1970684931507	596361124.324	147	11194.8661863014	102.285554383562	0	0
876	85	13469.0849315068	464.493315068493	122.241671232877	1199023488.794	341	44202.4724821918	0	67.5892273972603	0
879	85	16867.4849315068	97.0828767123288	84.4634246575342	2537177230.137	431	54421.4923232877	0	70.3945205479452	0
887	85	17123.8657534247	289.329424657534	57.6233150684931	1645140326.346	359	51807.1381917808	22.9527294739726	0	0
889	85	29350.0460273973	725.33098630137	183.321835616438	1563284845.629	264	84746.2750904109	78.0187397260274	0	0
983	85	26784.9726027397	712.602219178082	181.718493150685	1543793482.948	392	76158.5433863014	10.8919232876712	0	0
988	85	9570.52876712329	177.191753424658	57.9438356164384	1484115421.278	328	27760.0103726027	173.920075364384	0	0
991	85	1916.58904109589	41.6132328767123	7.2881095890411	502757501.293	96	6395.44389041096	98.658	0	0
994	85	18392.3424657534	229.153369863014	56.7236164383562	1596959353.313	280	55067.1205150685	112.172794520548	0	0
1004	85	661.808219178082	21.0516438356164	4.3347397260274	295043657.096	71	2473.05548493151	23.3155232876712	0	0
1008	85	6107.77534246575	166.881506849315	30.1081095890411	648388166.217	161	18395.4417643836	74.0610739726027	0	0
1012	85	5817.04139726027	166.630082191781	31.5608493150685	451025587.035	87	17703.9404986301	4.61505205479452	12.6538520547945	0
1047	85	3077.86871232877	16.3694520547945	21.7485479452055	425567609.619	52	9843.19064657534	38.7757808219178	0	0
1250	85	3797.87945205479	11.6082739726027	15.8404109589041	516384012.876	137	13130.9401917808	0	362.354205479452	0
1355	85	8674.73150684932	148.238246575342	30.9098356164384	579584795.982	132	27139.1635945205	44.3365347945205	0	0
1356	85	17790.2383561644	250.794931506849	64.7006301369863	1771847382.041	228	55360.6961753425	218.449801643836	0	0
1357	85	2851.09589041096	57.7382465753425	15.9271232876712	326379469.511	103	9753.32369863014	9.23677808219178	0	0
1364	85	16962.1534246575	130.929753424658	68.9537534246575	1504734830.874	472	50204.5292273973	146.226739726027	134.943356164384	0
1570	85	1115.60273972603	8.95608219178082	4.012	265023366.129	65	3565.02084931507	27.7603890410959	0	0
1606	85	2842.11506849315	26.8045753424658	11.4767397260274	171348126.301	69	8394.25768767123	11.9363199123288	0	0
1695	85	3258.47671232877	22.6825205479452	10.8117808219178	679434478.708	196	9889.87540273973	39.4264931506849	0	0
1745	85	9846.39452054794	59.9139726027397	29.7809315068493	1615421625.63	327	29440.9144109589	228.785669556164	0	0
1943	85	989.940547945205	11.6388493150685	5.18419178082192	198129753.078	38	3521.75046575342	4.1745698630137	0	0
2080	85	5562.74345205479	241.63602739726	23.1507945205479	469661501.54	157	17364.6184109589	46.2653462465753	0	0
2103	85	33940.7780821918	718.440082191781	113.697917808219	2416178131.095	504	98739.3407890411	272.014438356164	0	0
2107	85	6353.97260273973	150.523534246575	53.5938082191781	908364102.886	275	19773.3552328767	53.9457205479452	0	0
2526	85	2364.82657534247	40.87	9.55624657534247	359951031.152	79	7754.24278356164	26.3488438356164	0	0
2527	85	3106.33987671233	54.6552876712329	12.8321917808219	356343609.732	97	9967.79689315068	44.9658904109589	0	0
2535	85	4747.64136986301	66.3059452054794	14.4161917808219	400877230.321	85	13026.233030137	12.9339186410959	0	0
2549	85	11160.6136986301	133.916164383562	52.4561643835616	1599520643.281	304	34310.3562136986	0	0	0
2554	85	9136.04109589041	139.758273972603	28.0109589041096	905381560.472	210	27315.7664438356	0	0	0
2642	85	3913.87945205479	66.2106301369863	11.7336438356164	404160627.367	134	11773.6392876712	36.8403287671233	0	0
2706	85	5814.04931506849	38.0304657534247	23.4774794520548	326198484.672	105	16388.9670410959	33.0788110684931	0	0
2718	85	6240.85479452055	41.2151232876712	18.1642465753425	867251083.569	152	17463.3873260274	130.848952471233	0	0
2721	85	5753.07671232877	39.636904109589	16.5001369863014	699950694.046	146	16228.7419616438	69.2148254958904	0	0
2727	85	25119.4383561644	160.771287671233	68.1642739726027	1328920229.09	189	65752.716509589	181.029871726027	0	0
2790	85	1230.63808219178	14.2532876712329	3.39498630136986	154926989.111	57	4698.03066849315	0	0	0
2850	85	40648.9671232877	458.89104109589	189.86002739726	2131401828.805	537	115204.31230137	69.7135047287671	0	0
2864	85	7181.10438356164	194.758739726027	36.7962191780822	924833280.961	289	23055.8301150685	16.5611493369863	0	0
2872	85	19996.5643835616	679.609616438356	116.656931506849	1645865800.122	382	55286.9931123288	208.310355419178	0	0
2876	85	21710.0547945205	592.725534246575	135.874657534247	1328458079.838	338	61392.8644547945	18.1532054794521	0	0
3098	85	3917.80273972603	8.17068493150685	21.8697534246575	988415245.586	228	13416.4427287671	126.210975320548	0	0
3130	85	3227.21369863014	43.0954246575342	12.5628493150685	476594855.031	106	10604.2534575342	119.004366312329	0	0
3131	85	10770.6082191781	171.332876712329	40.4251232876712	830793404.272	143	31937.2576109589	197.409782663014	0	0
3138	85	4856.66301369863	64.7775890410959	25.8667123287671	623969839.585	173	16351.1640712329	40.1532553972603	0	0
3140	85	24487.301369863	353.278602739726	74.3278630136986	1273574823.427	211	71733.5905424657	416.947038065753	0	0
3149	85	26723.2739726027	285.226246575342	75.6027945205479	1286089214.472	194	73729.0549589041	427.669198849315	0	0
3178	85	6050.9698630137	84.8466301369863	27.3619726027397	395625632.741	84	18001.5839452055	22.1842849315068	0	0
3297	85	8583.8904109589	81.8690136986301	37.0957534246575	567099468.657	89	24854.2939561644	221.9234976	0	0
3497	85	17344.4821917808	110.627287671233	47.941397260274	781546144.729	256	55383.6535287671	0	444.097260273973	0
3644	85	1339.25753424658	6.97835616438356	5.02471232876712	251940725.202	108	4567.38606575342	23.358904109589	0	0
3775	85	9891.77808219178	50.6440273972603	39.6374794520548	737017840.454	174	27079.838969863	34.8884687506849	0	0
3776	85	3610.43287671233	25.2619452054795	15.8390136986301	596554298.776	131	10432.3869041096	164.516728273973	0	0
3788	85	6554.23835616438	42.7118630136986	20.5193150684931	796337475.151	206	20434.1656	171.795072476712	0	0
3796	85	2899.94520547945	19.9240273972603	13.3431506849315	391869688.491	131	8769.67103013699	56.0613698630137	0	0
3936	85	3776.16438356164	23.0008493150685	17.6314246575342	600485153.367	132	10684.0371452055	24.4607102465753	0	0
3945	85	1090.08493150685	10.6414520547945	6.09813698630137	350373312.389	83	4041.86379726027	15.0564821917808	0	0
3946	85	2475.69863013699	26.2403561643836	16.8337260273973	371642007.295	80	7810.74781369863	17.8795726027397	0	0
3947	85	12719.002739726	420.909424657534	85.8539726027397	806486129.031	247	35846.1398027397	14.3723966630137	0	0
3948	85	23163.7643835616	275.08197260274	103.718328767123	1510438012.773	259	65845.6862191781	279.070842936986	0	0
4054	85	2943.54246575342	68.5470410958904	24.4743835616438	228864817.498	61	8760.92923835616	0.470648547945205	0	0
4072	85	2822.27397260274	61.4160273972603	15.2686575342466	513318322.95	160	9379.2877369863	74.6016657534247	0	0
4158	85	13372.6657534247	79.5747397260274	76.0295890410959	961171523.713	308	44057.6711123288	86.2278461589041	0	0
4162	85	10948.6465753425	50.7078904109589	43.4373150684932	799212089.17	255	32259.9924931507	44.3819545150685	101.293424657534	0
6002	85	13129.898630137	58.9924383561644	39.8663835616438	1632418445.613	330	37295.9081205479	422.415884761644	0	0
6004	85	19697.9890410959	96.268904109589	73.6895068493151	1842696373.325	257	57276.5126082192	181.618816438356	0	0
6016	85	5328.38082191781	23.4638630136986	20.0767945205479	715387419.572	114	15960.3827945205	19.132764460274	0	0
6017	85	11789.8520547945	37.8938904109589	27.2453424657534	1560795646.323	243	34730.3024328767	108.679273528767	0	0
6095	85	12810.4931506849	39.0618082191781	55.7999178082192	992410685.72	264	38530.7071452055	17.0889104054794	0	0
6139	85	21504.002739726	93.2033698630137	150.60802739726	962464186.816	132	64225.373430137	128.941150684932	0	0
6146	85	37963.9424657534	104.527698630137	114.944712328767	1949429978.653	700	124363.504180822	426.887309589041	0	0
6147	85	36054.2191780822	223.911506849315	116.313178082192	1446777932.631	528	117706.656038356	430.110838356164	0	0
6155	85	16162.0493150685	158.958630136986	56.5675068493151	1123141428.416	270	45919.9748383562	51.2027178082192	0	0
6178	85	10965.9150684932	32.2125753424658	35.1926849315068	595732057.254	121	29879.3441972603	35.2519232876712	0	0
6193	85	18890.4904109589	55.8889863013699	79.907698630137	872306631.916	165	55124.7823671233	0	223.585709589041	0
6248	85	8239.67397260274	31.6404109589041	57.6634794520548	920020062.662	123	25404.6728	77.3371936438356	0	0
6264	85	19380.1095890411	82.7368219178082	55.8777808219178	1436220247.509	247	52779.5124821918	195.724117380822	0	0
8042	85	31431.4767123288	199.569945205479	125.38895890411	1227909915.589	182	82507.444739726	134.272496860274	0	0
8102	85	33537.9808219178	974.037315068493	164.904602739726	2195194735.563	365	98138.0868876712	152.970962564384	0	0
8226	85	8780.88493150685	112.289945205479	27.1374246575342	766377180.006	161	25750.9262849315	120.128536931507	0	0
3	86	25462.1643835616	146.919342465753	77.3279726027397	1581694206.23877	455	71537.6690849315	37.6740214027397	544.709621917808	0
8	86	19437.4246575342	194.232082191781	65.1751780821918	1497832904.12785	541	59497.1776767123	101.044802810959	0	0
470	86	9432.13150684931	33.2926301369863	43.7966849315069	758184949.959422	110	28305.6586410959	67.3763729589041	12.5773397260274	0
602	86	9663.34520547945	51.4209589041096	29.680904109589	1017411814.98919	120	28377.5455890411	146.380718284931	0	0
641	86	9879.87671232877	233.074794520548	44.6156438356164	1184122841.10576	226	30193.1903013699	24.1998246575342	735.567123287671	0
708	86	13663.4821917808	185.06904109589	62.4910684931507	821820377.536551	306	41316.5939726027	57.1025095890411	0	0
709	86	26893.9178082192	285.233945205479	129.025178082192	1349289955.9546	476	84601.198339726	39.1862301369863	0	0
728	86	17418.6904109589	349.440109589041	59.1336164383562	1296030714.1198	439	53073.1359726027	71.4315287671233	0	0
856	86	9456.34520547945	61.0109589041096	39.4372054794521	839447931.759446	153	27032.644290411	29.9302476986301	0	0
